데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,,,,,
카드_직접이익_채널_USEC_이익율,26.00%,26.00%,28.00%,26.00%,34.00%,34.00%,20.00%,18.00%,9.00%,7.00%,18.10%,적자,적자,,,,,
카드_직접이익_채널_EUEC_값,21,-11,1,14,-7,17,29,10,2,12,-1,9,10,,,,,
카드_직접이익_채널_EUEC_YOY,44%,-39%,4%,17%,-13%,43%,176%,57%,7%,154%,적자,34%,48%,,,,,
카드_직접이익_채널_EUEC_이익율,23.00%,-17.00%,1.00%,15.00%,-8.00%,24.00%,33.00%,23.00%,5.00%,25.00%,적자,12%,19.60%,,,,,
카드_직접이익_채널_라이선스_값,89,46,83,62,51,34,96,52,92,62,77,120,0,,,,,
카드_직접이익_채널_라이선스_YOY,156%,81%,146%,59%,92%,61%,80%,50%,100%,62%,125%,106%,0%,,,,,
카드_직접이익_채널_라이선스_이익율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100%,0.00%,,,,,
카드_직접이익_직접이익YTD_US홀세일_값,38,120,248,343,353,342,351,417,474,533,529,523,-8,,,,,
카드_직접이익_직접이익YTD_US홀세일_비중,38%,51%,65%,64%,62%,60%,58%,52%,48%,51%,50%,51%,적자,,,,,
카드_직접이익_직접이익YTD_US홀세일_변동,,,,,,,,,,,-7.0%p,-6.1%p,-169.0%p,,,,,
카드_직접이익_직접이익YTD_US홀세일_이익율,43.00%,46.00%,47.00%,45.00%,14.00%,-30.00%,15.00%,40.00%,33.00%,36.40%,35.30%,34.50%,-143%,,,,,
카드_직접이익_직접이익YTD_USEC_값,273,525,906,"1,241","1,746","2,270","2,547","2,765","2,885","2,997","3,500","3,471",-23,,,,,
카드_직접이익_직접이익YTD_USEC_비중,72%,70%,76%,77%,90%,99%,103%,101%,95%,86%,86%,71%,적자,,,,,
카드_직접이익_직접이익YTD_USEC_변동,,,,,,,,,,,-9.0%p,-14.0%p,-27.7%p,,,,,
카드_직접이익_직접이익YTD_USEC_이익율,26.00%,26.00%,28.00%,26.00%,34.00%,34.00%,20.00%,18.00%,9.00%,22.47%,21.60%,17.80%,-2%,,,,,
카드_직접이익_직접이익YTD_EUEC_값,21,10,11,25,18,35,64,73,75,87,86,95,10,,,,,
카드_직접이익_직접이익YTD_EUEC_비중,44%,13%,11%,14%,8%,13%,22%,24%,23%,24%,22%,23%,49%,,,,,
카드_직접이익_직접이익YTD_EUEC_변동,,,,,,,,,,,-11.8%p,-10.9%p,-3.9%p,,,,,
카드_직접이익_직접이익YTD_EUEC_이익율,23.00%,-17.00%,1.00%,15.00%,-8.00%,24.00%,33.00%,23.00%,5.00%,11.59%,11.50%,11.60%,20%,,,,,
카드_직접이익_직접이익YTD_라이선스_값,89,135,218,280,331,365,462,514,606,668,745,865,0,,,,,
카드_직접이익_직접이익YTD_라이선스_비중,156%,118%,128%,102%,100%,95%,91%,84%,86%,83%,85%,85%,0%,,,,,
카드_직접이익_직접이익YTD_라이선스_변동,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,+0.0p%,,,,,
카드_직접이익_직접이익YTD_라이선스_이익율,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,,,,,
카드_영업비_값,632,524,693,566,547,633,630,602,534,643,538,573,575,,,,,
카드_영업비_YOY,129%,110%,257%,106%,96%,137%,91%,98%,93%,97%,74%,57%,91%,,,,,
카드_영업비_영업비율,47%,42%,38%,35%,32%,37%,39%,38%,31%,33%,18%,16%,48%,,,,,
카드_영업비_인건비_값,381,321,365,362,214,374,412,339,342,361,315,351,321,,,,,
카드_영업비_인건비_YOY,100%,103%,394%,105%,63%,125%,99%,91%,79%,86%,74%,95%,0.842519685,,,,,
카드_영업비_인건비_급여_값,319,270,287,290,305,296,339,301,287,298,264,297,262,,,,,
카드_영업비_인건비_급여_YOY,117%,124%,110%,112%,113%,138%,105%,108%,100%,92%,79%,96%,82%,,,,,
카드_영업비_인건비_보험복지_값,61,51,79,71,89,78,73,38,56,63,52,54,59,,,,,
카드_영업비_인건비_보험복지_YOY,103%,111%,109%,154%,185%,169%,140%,71%,104%,118%,101%,94%,97%,,,,,
카드_영업비_광고선전비_값,118,70,122,54,60,87,78,88,77,62,113,108,51,,,,,
카드_영업비_광고선전비_YOY,0%,1011%,248%,140%,87%,109%,100%,136%,156%,87%,125%,93%,43%,,,,,
카드_영업비_지급수수료_값,53,82,57,90,218,112,90,118,105,121,62,162,150,,,,,
카드_영업비_지급수수료_YOY,71%,147%,35%,119%,407%,226%,61%,178%,205%,112%,42%,128%,283%,,,,,
카드_영업비_식대출장비_값,5,5,24,5,12,1,1,1,1,2,4,7,4,,,,,
카드_영업비_식대출장비_YOY,58%,54%,121%,56%,132%,25%,12%,6%,19%,58%,16%,54%,80%,,,,,
카드_영업비_임차료_값,25,25,25,25,25,25,25,25,25,25,25,24,25,,,,,
카드_영업비_임차료_YOY,73%,73%,73%,73%,73%,-112%,100%,100%,100%,100%,100%,100%,100%,,,,,
카드_영업비_샘플비개발비_값,38,5,3,19,2,5,5,2,10,57,1,4,2,,,,,
카드_영업비_샘플비개발비_YOY,563%,12%,1022%,1677%,11%,33%,91%,6%,713%,328%,14%,51%,5%,,,,,
카드_영업비_감가상각비_값,4,4,0,5,4,4,4,4,4,4,4,4,4,,,,,
카드_영업비_감가상각비_YOY,118%,118%,-7%,145%,100%,101%,100%,97%,97%,96%,91%,91%,100%,,,,,
카드_영업비_기타비용_값,8,12,97,7,11,25,15,26,-30,12,15,-88,17,,,,,
카드_영업비_기타비용_YOY,-217%,112%,-104%,25%,29%,76%,122%,99%,-799%,86%,101%,환입,213%,,,,,
카드_할인율_값,39.40%,44.80%,40.40%,36.60%,34.60%,38.10%,48.90%,49.80%,50.20%,52.30%,61.20%,57.10%,52.10%,,,,,
카드_할인율_YOY,+7.2%p,+2.9%p,+5.1%p,-1.0%p,-4.1%p,-1.6%p,+11.2%p,+3.0%p,+6.3%p,+10.9%p,+19.5%p,+17.6%p,+12.7%p,,,,,
카드_할인율_채널_US홀세일_값,65.00%,60.50%,58.30%,58.80%,69.10%,77.60%,71.60%,65.00%,58.90%,64.20%,71.20%,74.30%,72.00%,,,,,
카드_할인율_채널_US홀세일_YOY,+5.8%p,+1.2%p,-2.3%p,-1.8%p,+2.3%p,+7.6%p,+8.3%p,+6.4%p,-0.1%p,+1.6%p,+28.9%p,-11.6%p,+7.0%p,,,,,
카드_할인율_채널_USEC_값,38.30%,41.70%,36.50%,32.20%,31.80%,35.90%,48.80%,50.10%,49.00%,50.50%,61.10%,56.80%,51.80%,,,,,
카드_할인율_채널_USEC_YOY,+13.8%p,+3.0%p,+8.5%p,-1.4%p,-6.4%p,-3.4%p,+10.3%p,+5.0%p,+11.0%p,+11.8%p,+18.7%p,+18.7%p,+13.5%p,,,,,
카드_할인율_채널_EUEC_값,30.70%,45.30%,40.30%,31.70%,32.00%,39.50%,49.40%,44.20%,42.80%,41.70%,63.10%,64.10%,57.40%,,,,,
카드_할인율_채널_EUEC_YOY,+14.2%p,+22.4%p,+39.7%p,+22.8%p,+13.9%p,+15.8%p,+28.5%p,+16.8%p,+19.8%p,+14.8%p,+41.7%p,+42.4%p,+26.7%p,,,,,
카드_할인율_아이템_25FW_값,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.20%,6.50%,11.60%,11.00%,47.20%,49.30%,44.50%,,,,,
카드_할인율_아이템_25FW_YOY,-2.5%p,-3.0%p,-16.7%p,-21.9%p,-8.0%p,-10.3%p,+0.1%p,+0.1%p,+0.9%p,-9.4%p,+13.9%p,+10.5%p,+0.5%p,,,,,
카드_할인율_아이템_25SS_값,4.70%,5.20%,6.90%,16.40%,27.80%,35.90%,37.90%,48.50%,54.70%,59.50%,71.40%,70.90%,58.00%,,,,,
카드_할인율_아이템_25SS_YOY,-1.6%p,-0.4%p,+1.1%p,-5.8%p,+1.1%p,-1.8%p,-0.7%p,-2.4%p,+0.2%p,-0.4%p,+5.4%p,+5.8%p,-8.9%p,,,,,
카드_할인율_아이템_FW과시즌_값,44.00%,49.90%,52.30%,52.90%,50.70%,51.30%,66.00%,69.80%,68.20%,70.30%,73.70%,71.30%,66.30%,,,,,
카드_할인율_아이템_FW과시즌_YOY,+0.4%p,+0.4%p,+7.7%p,+1.7%p,-10.1%p,-11.8%p,+4.2%p,+7.5%p,+4.5%p,+5.1%p,+3.3%p,+1.9%p,-1.2%p,,,,,
카드_할인율_아이템_SS과시즌_값,66.90%,66.90%,68.00%,60.30%,56.00%,54.30%,62.50%,51.60%,49.60%,55.20%,60.50%,73.40%,62.90%,,,,,
카드_할인율_아이템_SS과시즌_YOY,-0.4%p,+0.9%p,+8.7%p,+3.1%p,-8.9%p,-4.2%p,+2.0%p,-19.3%p,-13.9%p,-8.3%p,+6.1%p,+38.8%p,+12.6%p,,,,,
카드_할인율_아이템_CORE_값,15.50%,7.20%,7.90%,11.60%,5.50%,15.50%,11.80%,28.60%,22.70%,12.20%,47.50%,45.10%,32.90%,,,,,
카드_할인율_아이템_CORE_YOY,-20.8%p,-23.5%p,-15.3%p,-14.5%p,-24.7%p,-21.6%p,-26.2%p,-9.0%p,-7.3%p,-11.9%p,+18.5%p,+22.2%p,+17.4%p,,,,,
카드_당시즌판매율_값,0.50%,1.60%,4.70%,8.90%,15.90%,24.70%,0.20%,0.80%,2.30%,4.60%,17.10%,34.00%,39.70%,,,,,
카드_당시즌판매율_전년비교,2.00%,6.20%,14.10%,26.70%,41.40%,58.40%,1.30%,4.10%,9.00%,16.50%,30.40%,51.00%,61.30%,,,,,
카드_당시즌판매율_YOY,-1.40%,-4.70%,-9.40%,-17.90%,-25.50%,-33.70%,-1.10%,-3.20%,-6.70%,-11.80%,-13.30%,-17.00%,-21.60%,,,,,
카드_당시즌판매율_아이템_트랙자켓_값,"5,851","5,851","5,851","5,851","5,851","5,851","8,404","8,404","8,404","8,404","8,404","8,404","8,404",,,,,
카드_당시즌판매율_아이템_트랙자켓_비중,216.00%,216.00%,216.00%,216.00%,216.00%,216.00%,226.00%,226.00%,226.00%,226.00%,226.00%,226.00%,226.00%,,,,,
카드_당시즌판매율_아이템_트랙자켓_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.40%,1.50%,3.30%,14.80%,14.80%,19.10%,,,,,
카드_당시즌판매율_아이템_트랙팬츠_값,"4,937","4,937","4,937","4,937","4,937","4,937","6,407","6,407","6,407","6,407","6,407","6,407","6,407",,,,,
카드_당시즌판매율_아이템_트랙팬츠_비중,225.00%,225.00%,225.00%,225.00%,225.00%,225.00%,219.00%,219.00%,219.00%,219.00%,219.00%,219.00%,219.00%,,,,,
카드_당시즌판매율_아이템_트랙팬츠_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.70%,2.40%,5.20%,18.00%,18.00%,22.50%,,,,,
카드_당시즌판매율_아이템_전체발주_값,"22,091","22,091","22,091","22,091","22,091","22,091","19,440","19,440","19,440","19,440","19,440","19,440","19,440",,,,,
카드_당시즌판매율_아이템_전체발주_비중,237.00%,237.00%,237.00%,237.00%,237.00%,237.00%,161.90%,161.90%,161.90%,161.90%,161.90%,161.90%,161.90%,,,,,
카드_당시즌판매율_아이템_전체발주_비율,0.50%,1.50%,3.30%,5.40%,8.00%,10.40%,0.10%,0.60%,2.00%,4.60%,17.10%,17.10%,19.70%,,,,,
카드_당시즌판매율_아이템_트랙자켓_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.79%,30.80%,43.20%,,,,,
카드_당시즌판매율_아이템_트랙팬츠_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.50%,30.50%,43.00%,,,,,
카드_당시즌판매율_아이템_전체발주_전년,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.40%,30.40%,43.00%,,,,,
카드_당시즌MU_값,5.3,5.3,5.3,5.3,5.3,5.3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,
카드_당시즌MU_전년비교,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,
카드_당시즌MU_YOY,98%,98%,98%,98%,98%,98%,90%,90%,90%,90%,90%,90%,90%,,,,,
카드_당시즌MU_아이템_TrackJacket_값,5.5,5.5,5.5,5.5,5.5,5.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,
카드_당시즌MU_아이템_TrackJacket_전년,5.5,5.5,5.5,5.5,5.5,5.5,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,
카드_당시즌MU_아이템_TrackPant_값,5.6,5.6,5.6,5.6,5.6,5.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,
카드_당시즌MU_아이템_TrackPant_전년,5.7,5.7,5.7,5.7,5.7,5.7,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,
카드_당시즌MU_아이템_Knitwear_값,4.8,4.8,4.8,4.8,4.8,4.8,5.3,5.3,5.3,5.3,5.3,5.3,5.3,,,,,
카드_당시즌MU_아이템_Knitwear_전년,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,,,,
카드_당시즌MU_아이템_T-Shirt_값,5.8,5.8,5.8,5.8,5.8,5.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,
카드_당시즌MU_아이템_T-Shirt_전년,5.9,5.9,5.9,5.9,5.9,5.9,5.1,5.1,5.1,5.1,5.1,5.1,5.1,,,,,
카드_당시즌MU_아이템_Short_값,5,5,5,5,5,5,4.3,4.3,4.3,4.3,4.3,4.3,4.3,,,,,
카드_당시즌MU_아이템_Short_전년,5.2,5.2,5.2,5.2,5.2,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,,,,,
카드_기말재고_아이템_FW당시즌_값,0,0,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868",,,,,
카드_기말재고_아이템_FW당시즌_전년,,,,,,632%[+377],75%[-2644],113%[+1776],154%[+7159],150%[+6534],154%[+5999],"157%[+5,016]","169%[+5,273]",,,,,
카드_기말재고_아이템_SS당시즌_값,"7,721","21,488","22,527","24,170","22,346","20,321","18,817","17,097","15,457","13,185","9,610","6,766","6,643",,,,,
카드_기말재고_아이템_SS당시즌_전년,87%[-1154],156%[+7714],187%[+10480],238%[+14015],268%[+14008],302%[+13592],328%[+13080],395%[+12769],446%[+11991],494%[+10516],409%[+7260],"508%[+5,434]","75%[-2,224]",,,,,
카드_기말재고_아이템_FW과시즌_값,"8,209","6,283","5,936","5,320","4,920","4,615","3,781","2,964","2,601","2,197","1,831","1,221",849,,,,,
카드_기말재고_아이템_FW과시즌_전년,122%[+1480],135%[+1629],183%[+2692],191%[+2535],250%[+2952],282%[+2978],249%[+2263],248%[+1769],241%[+1522],235%[+1262],171%[+760],187%[+568],138%[+236],,,,,
카드_기말재고_아이템_SS과시즌_값,"1,234",925,887,"1,224","1,064",927,764,638,532,375,415,277,204,,,,,
카드_기말재고_아이템_SS과시즌_전년,110%[+112],210%[+485],121%[+154],561%[+1006],794%[+930],806%[+812],344%[+542],491%[+508],463%[+417],338%[+264],324%[+287],295%[+183],237%[+118],,,,,
카드_기말재고_아이템_CORE_값,896,"1,409","1,406","1,585","1,546","1,500","1,697","2,082","2,880","3,418","2,113","1,033",584,,,,,
카드_기말재고_아이템_CORE_전년,84%[-171],187%[+656],255%[+855],330%[+1105],414%[+1173],505%[+1203],290%[+1112],454%[+1623],254%[+1746],253%[+2067],162%[+809],104%[+37],65%[-312],,,,,
카드_기말재고_값,"18,060","30,105","30,882","32,423","30,025","27,812","32,991","38,217","41,887","38,777","31,076","23,133","21,148",,,,,
카드_기말재고_전년비교,247,"10,442","14,302","18,791","19,193","18,963","14,406","18,451","22,800","20,678","15,640","12,658","18,057",,,,,
카드_기말재고_YOY,101%,288%,216%,173%,156%,147%,229%,207%,184%,188%,199%,183%,117%,,,,,
카드_인원수_값,26,29,29,28,27,26,27,27,26,26,26,26,26,,,,,
카드_인원수_정규직,21,24,24,23,22,21,22,22,21,21,21,21,21,,,,,
카드_인원수_계약직,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,
카드_인원수_전년비교,29,30,29,29,28,28,29,29,29,27,27,28,26,,,,,
카드_인원수_YOY,90%,97%,100%,97%,96%,93%,93%,93%,90%,96%,"96% 정규21,계약5","92% 정규21,계약5","100% 정규21,계약5",,,,,
카드_인원수_인당인건비_값,12,9,10,10,11,11,13,11,11,11,10,13,12,,,,,
카드_인원수_인당인건비_YOY,130%,129%,110%,116%,117%,149%,113%,116%,111%,95%,85%,92%,84%,,,,,
카드_인원수_인당매출액_값,51,43,63,58,63,65,60,59,65,74,116,272,47,,,,,
카드_인원수_인당매출액_YOY,93%,81%,99%,86%,93%,131%,146%,98%,109%,120%,165%,334%,91%,,,,,
카드_인원수_인당영업비_값,24,18,24,20,20,24,23,22,21,25,20,22,22,,,,,
카드_인원수_인당영업비_YOY,144%,114%,257%,110%,99%,147%,97%,106%,104%,101%,77%,62%,91%,,,,,
차트_채널별매출추세_US홀세일,89,178,274,210,73,37,63,166,172,202,34,17,6,,,,,
차트_채널별매출추세_US홀세일_YOY,36%,60%,84%,65%,43%,65%,71%,42%,44%,115%,85%,64%,6%,,,,,
차트_채널별매출추세_USEC,"1,069",957,"1,373","1,267","1,489","1,559","1,386","1,226","1,396","1,615","2,839","3,327","1,154",,,,,
차트_채널별매출추세_USEC_YOY,93%,88%,107%,95%,113%,135%,160%,110%,129%,129%,174%,170%,108%,,,,,
차트_채널별매출추세_EUEC,90,65,87,94,83,69,87,42,30,48,54,70,53,,,,,
차트_채널별매출추세_EUEC_YOY,60%,53%,52%,46%,47%,53%,70%,36%,18%,32%,34%,40%,60%,,,,,
차트_채널별매출추세_라이선스,89,46,83,62,51,34,96,52,92,70,77,121,0,,,,,
차트_채널별매출추세_라이선스_YOY,156%,81%,146%,59%,92%,61%,80%,50%,100%,70%,125%,107%,0%,,,,,
차트_채널별매출추세_TOTAL_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,159%,155%,91%,,,,,
차트_아이템별매출추세_25FW,0,0,0,0,0,0,154,287,421,617,"1,305","1,690",704,,,,,
차트_아이템별매출추세_25FW_YOY,0%,0%,0%,0%,0%,0%,74%,40%,45%,67%,110%,160%,89%,,,,,
차트_아이템별매출추세_25SS,201,403,921,"1,002","1,219","1,306",871,797,814,842,"1,054",800,350,,,,,
차트_아이템별매출추세_25SS_YOY,48%,86%,185%,202%,355%,565%,501%,458%,468%,206%,309%,869%,192%,,,,,
차트_아이템별매출추세_FW과시즌,791,654,656,406,266,199,424,212,152,180,174,2,88,,,,,
차트_아이템별매출추세_FW과시즌_YOY,131%,107%,130%,104%,87%,171%,347%,258%,316%,383%,371%,674%,629%,,,,,
차트_아이템별매출추세_SS과시즌,71,50,62,66,72,64,62,45,61,41,29,19,16,,,,,
차트_아이템별매출추세_SS과시즌_YOY,204%,127%,136%,122%,290%,811%,1199%,287%,2019%,336%,454%,14%,320%,,,,,
차트_아이템별매출추세_CORE,274,138,178,158,139,130,120,145,241,185,364,711,54,,,,,
차트_아이템별매출추세_CORE_YOY,629%,143%,44%,26%,17%,14%,25%,59%,259%,94%,155%,266%,57%,,,,,
차트_아이템별매출추세_TOTAL_YOY,81%,80%,98%,84%,99%,124%,142%,88%,98%,118%,160%,158%,91%,,,,,
차트_아이템별재고추세_25FW,0,0,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868",,,,,
차트_아이템별재고추세_25SS,"7,720","21,488","22,527","24,170","22,438","20,385","18,866","17,108","15,435","13,194","9,610","6,770","6,643",,,,,
차트_아이템별재고추세_FW과시즌,"9,507","7,523","6,929","6,122","5,605","5,206","4,206","3,309","2,489","2,406","1,831","1,221",849,,,,,
차트_아이템별재고추세_SS과시즌,"1,235",921,891,"1,232","1,072",940,779,648,541,382,415,277,204,,,,,
차트_아이템별재고추세_CORE,"1,596","2,048","2,034","2,187","2,125","2,058","2,216","2,602","3,844","3,193",2113,"1,033",584,,,,,
차트_아이템별재고추세_25FW_YOY,0%,0%,0%,0%,0%,632%,75%,113%,154%,150%,154%,187%,169%,,,,,
차트_아이템별재고추세_25SS_YOY,87%,156%,187%,238%,268%,302%,328%,395%,446%,494%,409%,295%,75%,,,,,
차트_아이템별재고추세_FW과시즌_YOY,122%,135%,183%,191%,250%,282%,249%,248%,241%,235%,171%,157%,138%,,,,,
차트_아이템별재고추세_SS과시즌_YOY,110%,210%,121%,561%,794%,806%,344%,491%,463%,338%,324%,322%,237%,,,,,
차트_아이템별재고추세_CORE_YOY,84%,187%,255%,330%,414%,505%,290%,454%,254%,253%,162%,104%,65%,,,,,
차트_아이템별재고추세_TOTAL_YOY,101%,288%,216%,173%,156%,147%,229%,207%,184%,188%,199%,183%,117%,,,,,
팝업_재고소진계획_fw25_3월,126,125,149,449,"7,933","15,436","20,417","19,602","17,107","13,830","12,868",,,,,,,
팝업_재고소진계획_ss25_3월,"22,527","24,170","22,346","20,321","18,817","17,072","15,439","13,172","9,610","6,770","6,643",,,,,,,
팝업_재고소진계획_FW과시즌_3월,"5,936","5,320","4,920","4,615","3,781","2,964","2,601","2,197","1,831","1,221",849,,,,,,,
팝업_재고소진계획_SS과시즌_3월,887,"1,224","1,064",927,764,638,508,375,415,277,204,,,,,,,
팝업_재고소진계획_CORE_3월,"1,406","1,585","1,546","1,500","1,697","2,082","2,880","3,430","2,113","1,033",584,,,,,,,
팝업_재고소진계획_테이블_3월,"30,882","32,423","30,025","27,812","32,991","38,192","41,844","38,777","31,076","23,133","21,148",,,,,,,
팝업_SEM광고비_sales,"1,069",957,"1,373","1,267","1,489","1,559","1,386","1,226","1,396","1,615","3,003","3,327",,,,,,
팝업_SEM광고비_adSpend,194,186,259,253,273,260,213,224,375,459,457,840,,,,,,
팝업_SEM광고비_ratio2025,18.10%,19.50%,18.80%,20.00%,18.30%,16.70%,15.40%,18.30%,26.90%,28.40%,15.00%,25.24%,,,,,,
팝업_SEM광고비_ratio2024,17.60%,14.40%,20.00%,19.30%,24.80%,23.90%,27.60%,24.00%,28.20%,19.10%,14.00%,14.00%,,,,,,
팝업_SEM광고비_YOY_텍스트,,,,,,,,,,,25.12월 전년대비 +11.3%p 증가 (당년 12월 25.4% vs 전년 14.0%),25.12월 전년대비 +11.3%p 증가 (당년 12월 25.4% vs 전년 14.0%),,,,,,
